"Path","SizeMB","Ext","InResources","InStreamingAssets","InPlugins","Risk"
"Assets/@PaulosCreations/RunesAndPortals/PortalRound/TexturesMaterials/PortalRound_Normal.png","103.06",".png","False","False","False","Low"
"Assets/@PaulosCreations/RunesAndPortals/Props/TexturesMaterials/Props_Normal_GL.png","84.49",".png","False","False","False","Low"
"Assets/Model/Dallas_City/Textures/Dallas-Part_1.png","76.24",".png","False","False","False","Low"
"Assets/@PaulosCreations/RunesAndPortals/RuneStone/TexturesMaterials/RunePortal_MetallicSmoothness.tga","64",".tga","False","False","False","Low"
"Assets/@PaulosCreations/RunesAndPortals/Demo/ArenaFloorNorm_4096.tga","64",".tga","False","False","False","Low"
"Assets/@PaulosCreations/RunesAndPortals/Demo/ArenaFloorT_4096.tga","64",".tga","False","False","False","Low"
"Assets/Model/Dallas_City/Textures/Dallas-Part_3.jpg","49.61",".jpg","False","False","False","Low"
"Assets/Model/Dallas_City/Textures/Dallas-Part_2.jpg","48.83",".jpg","False","False","False","Low"
"Assets/@PaulosCreations/RunesAndPortals/RuneStone/TexturesMaterials/RunePortal_Albedo.tga","48",".tga","False","False","False","Low"
"Assets/@PaulosCreations/RunesAndPortals/RuneStone/TexturesMaterials/RunePortal_Normal.tga","48",".tga","False","False","False","Low"
"Assets/Model/Dallas_City/Textures/Dallas-Part_4.jpg","40.56",".jpg","False","False","False","Low"
"Assets/@PaulosCreations/RunesAndPortals/PortalGate_Simple/TexturesMaterials/Portal_MetallicSmoothness.png","39.74",".png","False","False","False","Low"
"Assets/Model/Dallas_City/Textures/Dallas-Part_5.jpg","34.63",".jpg","False","False","False","Low"
"Assets/@PaulosCreations/RunesAndPortals/PortalRound/TexturesMaterials/PortalRound_Color.png","29.72",".png","False","False","False","Low"
"Assets/Model/Dallas_City/Textures/Dallas-Part_6.jpg","28.13",".jpg","False","False","False","Low"
"Assets/@PaulosCreations/RunesAndPortals/Rift/TexturesMaterials/Rift_Normal_GL.png","27.07",".png","False","False","False","Low"
"Assets/@PaulosCreations/RunesAndPortals/PortalGate/TexturesMaterials/PortalGate_Normal_GL.png","26.53",".png","False","False","False","Low"
"Assets/Model/Dallas_City/Scenes/SampleScene/ReflectionProbe-1.exr","26.38",".exr","False","False","False","Low"
"Assets/@PaulosCreations/RunesAndPortals/Props/TexturesMaterials/Props_Color.png","25.15",".png","False","False","False","Low"
"Assets/@PaulosCreations/RunesAndPortals/PortalGate_Simple/TexturesMaterials/Portal_Albedo.png","24.03",".png","False","False","False","Low"
"Assets/Model/TEXTURES/glock_4K_Normal.png","23.98",".png","False","False","False","Low"
"Assets/@PaulosCreations/RunesAndPortals/Rift/TexturesMaterials/Rift_Color.png","21.71",".png","False","False","False","Low"
"Assets/Model/textureChuboss/texture_pbr_20250901.001.png","15.39",".png","False","False","False","Low"
"Assets/Model/zakoTexture/texture_pbr_20250901.002.png","15.38",".png","False","False","False","Low"
"Assets/@PaulosCreations/RunesAndPortals/PortalGate/TexturesMaterials/PortalGate_Color.png","15.34",".png","False","False","False","Low"
"Assets/Model/TextureHorro/texture_pbr_20250901_metallic-texture_pbr_20250901_roughness.png","14.02",".png","False","False","False","Low"
"Assets/Model/TextureHorro/texture_pbr_20250901_metallic-texture_pbr_20250901_roughnes.png","13.59",".png","False","False","False","Low"
"Assets/Model/uploads_files_1894371_lp_01+-+Default_BaseColor.tga","12",".tga","False","False","False","Low"
"Assets/Model/textureChuboss/texture_pbr_20250901_metallic-texture_pbr_20250901_roughnes.png","11.69",".png","False","False","False","Low"
"Assets/Model/vans_fbx.fbx","10.97",".fbx","False","False","False","Low"
"Assets/Model/TextureHorro/Gemini_Generated_Image_hknihghknihghkni.png","10.47",".png","False","False","False","Low"
"Assets/Model/TEXTURES/glock_4K_BaseColor.png","10.29",".png","False","False","False","Low"
"Assets/Model/TextureHorro/Gemini_Generated_Image_qz09sbqz09sbqz09.png","9.83",".png","False","False","False","Low"
"Assets/Model/TextureHorro/Gemini_Generated_Image_nsrjksnsrjksnsrj.png","9",".png","False","False","False","Low"
"Assets/Model/TextureHorro/Gemini_Generated_Image_3twrnj3twrnj3twr 1.png","8.9",".png","False","False","False","Low"
"Assets/Model/TextureHorro/Gemini_Generated_Image_3twrnj3twrnj3twr.png","8.9",".png","False","False","False","Low"
"Assets/SU3DJPFont/TextMeshProFont/Selected/mplus-1c-regular SDF.asset","8.72",".asset","False","False","False","Low"
"Assets/SU3DJPFont/TextMeshProFont/Selected/mplus-1c-black SDF.asset","8.72",".asset","False","False","False","Low"
"Assets/SU3DJPFont/TextMeshProFont/Selected/mplus-1p-black SDF.asset","8.71",".asset","False","False","False","Low"
"Assets/SU3DJPFont/TextMeshProFont/Selected/mplus-1mn-thin SDF.asset","8.71",".asset","False","False","False","Low"
"Assets/SU3DJPFont/TextMeshProFont/Selected/mplus-1mn-medium SDF.asset","8.71",".asset","False","False","False","Low"
"Assets/SU3DJPFont/TextMeshProFont/Selected/mplus-1mn-regular SDF.asset","8.71",".asset","False","False","False","Low"
"Assets/SU3DJPFont/TextMeshProFont/Selected/mplus-1p-bold SDF.asset","8.71",".asset","False","False","False","Low"
"Assets/SU3DJPFont/TextMeshProFont/Selected/mplus-1p-heavy SDF.asset","8.71",".asset","False","False","False","Low"
"Assets/SU3DJPFont/TextMeshProFont/Selected/mplus-1p-light SDF.asset","8.71",".asset","False","False","False","Low"
"Assets/SU3DJPFont/TextMeshProFont/Selected/mplus-2p-bold SDF.asset","8.71",".asset","False","False","False","Low"
"Assets/SU3DJPFont/TextMeshProFont/Selected/mplus-2p-thin SDF.asset","8.71",".asset","False","False","False","Low"
"Assets/SU3DJPFont/TextMeshProFont/Selected/mplus-2p-light SDF.asset","8.71",".asset","False","False","False","Low"
"Assets/SU3DJPFont/TextMeshProFont/Selected/mplus-2p-regular SDF.asset","8.71",".asset","False","False","False","Low"
"Assets/SU3DJPFont/TextMeshProFont/Selected/mplus-1c-thin SDF.asset","8.71",".asset","False","False","False","Low"
